IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.54.157,2096,TRUE,HKG,Asia Pacific,Hong Kong,206,0.65 
47.243.107.148,2087,TRUE,HKG,Asia Pacific,Hong Kong,498,0.65 
8.210.175.109,2096,TRUE,HKG,Asia Pacific,Hong Kong,58,0.64 
8.210.174.156,2087,TRUE,HKG,Asia Pacific,Hong Kong,813,0.62 
47.76.94.15,2053,TRUE,HKG,Asia Pacific,Hong Kong,302,0.61 
8.210.192.93,2087,TRUE,HKG,Asia Pacific,Hong Kong,208,0.60 
47.236.181.185,8443,TRUE,SIN,Asia Pacific,Singapore,278,0.58 
8.210.39.96,2053,TRUE,HKG,Asia Pacific,Hong Kong,58,0.56 
8.218.122.55,2053,TRUE,HKG,Asia Pacific,Hong Kong,137,0.55 
47.242.202.230,2053,TRUE,HKG,Asia Pacific,Hong Kong,57,0.54 
8.217.248.220,2083,TRUE,HKG,Asia Pacific,Hong Kong,65,0.54 
47.242.202.230,2083,TRUE,HKG,Asia Pacific,Hong Kong,58,0.52 
8.217.159.210,2087,TRUE,HKG,Asia Pacific,Hong Kong,56,0.52 
47.76.49.246,2083,TRUE,HKG,Asia Pacific,Hong Kong,560,0.50 
8.218.122.55,8443,TRUE,HKG,Asia Pacific,Hong Kong,61,0.43 
47.243.107.148,2096,TRUE,HKG,Asia Pacific,Hong Kong,492,0.42 
47.243.203.119,2087,TRUE,HKG,Asia Pacific,Hong Kong,60,0.42 
8.218.143.10,2096,TRUE,HKG,Asia Pacific,Hong Kong,73,0.41 
47.76.49.246,2053,TRUE,HKG,Asia Pacific,Hong Kong,563,0.37 
47.76.178.146,8443,TRUE,HKG,Asia Pacific,Hong Kong,66,0.35 
47.76.32.108,2096,TRUE,HKG,Asia Pacific,Hong Kong,326,0.35 
47.243.203.119,2096,TRUE,HKG,Asia Pacific,Hong Kong,61,0.34 
47.245.114.163,2096,TRUE,SIN,Asia Pacific,Singapore,296,0.33 
47.236.80.110,2083,TRUE,SIN,Asia Pacific,Singapore,310,0.32 
